,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
32101,32101,32836,28,0,25326,0.20542863,0.007471246,0.031633493,0.007645804,0.022909317000000002,0.007809621,0.017032083,0.021205869,0.03342817,0.014497056999999999,0.056794435,0.009195362,0.01817311,0.0054757569999999995,0.030540157000000002,0.0031392909999999998,0.014516989,0.05014072,0.004694863,0.020377591,0.051406663,0.005236966,0.0016417729999999998,0.0014404379999999998,0.06576192,0.043588195,0.23526799999999998,0.013546506000000002,3,5,38.298,65.208,28.35
32105,32105,32840,28,0,38885,0.13780434,0.00823421,0.06178383,0.004485969,0.024380472,0.008542072,0.042089987999999995,0.028495446,0.032220612999999995,0.014846716999999999,0.02213111,0.007760275,0.02639165,0.026397887999999998,0.03345718,0.001364873,0.014819406,0.043043427,0.00526528,0.023781102000000002,0.035818300000000004,0.00461376,0.001441061,0.001335885,0.078334264,0.044933595,0.24970484,0.016522473,3,5,40.872,18.33,28.35
32123,32123,32860,28,0,28716,0.28081852,0.008266816,0.018219331000000002,0.002966346,0.021408822,0.008585988000000001,0.008781532,0.022493403,0.029357065,0.010150840999999999,0.07090221,0.005538486,0.012341176,0.001614561,0.024579617999999998,0.001807195,0.015163985,0.08300534,0.006955403000000001,0.042759455999999994,0.11911474,0.011099586000000002,0.00830655,0.0027510729999999997,0.030372332999999998,0.027715072,0.11794629,0.006978204,6,5,58.11,101.868,28.35
32127,32127,32864,28,0,48460,0.17094037,0.006358696,0.025346482000000004,0.002882822,0.02117721,0.008117975999999999,0.044141807000000005,0.043084085,0.034345396,0.01756911,0.03876713,0.051165797,0.01639947,0.0005792519999999999,0.005028862,0.00022004200000000002,0.011643757,0.040679537,0.003744242,0.035752915,0.092538245,0.007852238000000001,0.004931393,0.0024436,0.11659569999999998,0.032098602999999996,0.1562955,0.009299792,3,5,60.84,35.022,28.35
32135,32135,32872,28,0,35136,0.06599556,0.013229298,0.19400303,0.065523714,0.02116869,0.011603938000000001,0.015996987,0.013670333,0.025301407999999997,0.012509443,0.01168,0.005420089,0.024929192000000003,0.005925218,0.0415144,0.002589767,0.013450539,0.04514886,0.052664973,0.023434737999999997,0.012231115,0.004019386,0.002190118,0.001308404,0.09158458,0.036851656,0.17293422,0.013120341,8,6,62.868,40.17,28.98
32138,32138,32875,28,0,47347,0.25263873,0.0070942390000000004,0.006589608,0.023494465,0.026210686,0.010901471000000001,0.047085833,0.05375313,0.03431218,0.017359551,0.06882761400000001,0.016492418999999998,0.008750516,0.000589342,0.007019229,0.011995826000000001,0.018055599999999998,0.07061136,0.004825147,0.041388087000000004,0.064294584,0.004118931,0.0015557320000000002,0.0013521420000000002,0.044530265,0.027832065,0.122356854,0.005964387,11,2,63.803999999999995,94.536,28.35
32165,32165,32903,28,0,36425,0.12886720000000002,0.007053948000000001,0.035847552000000005,0.00448472,0.026673883,0.009349679,0.08155651400000001,0.03247217,0.03891584,0.019008825,0.011810154,0.008355213,0.031143349,0.003165747,0.019891405,0.000682989,0.014184548,0.036736034,0.004111163,0.029047858,0.09466396,0.008413516,0.005587262,0.002350052,0.12944923,0.042300962000000004,0.14854893,0.025327232,0,5,78.234,42.042,28.35
32167,32167,32905,24,0,42169,0.11522679,0.022522625,0.22362173,0.012577506,0.022020545,0.007928421,0.027964522999999998,0.016459038,0.017237913,0.004556083,0.006431939,0.001855708,0.019285703,0.07326622,0.03801797,0.004860779,0.018539272,0.05339735,0.008623639,0.07480758400000001,0.000776421,1.12e-06,2.26e-07,2.4399999999999996e-07,0.03962787,0.024507545,0.16095415,0.004931113,12,5,79.638,30.42,29.61
32169,32169,32907,28,0,76943,0.13676365,0.004443606,0.007715195,0.022494301,0.017257327,0.015609841000000001,0.092908196,0.039726015,0.023860057999999996,0.011774486,0.013073726,0.01614857,0.007259028000000001,0.000348315,0.002931923,0.017369463999999998,0.011485593999999998,0.08480649,0.004128516,0.12099781,0.16568908,0.019677442,0.035806276,0.016400568,0.038922198,0.0224549,0.044954456,0.004992988,4,2,80.574,47.034,28.35
32186,32186,32924,28,0,54760,0.09435783,0.009834012,0.118841216,0.005332855,0.017129633999999998,0.010314109,0.04930324,0.023079725,0.023841032999999998,0.00972907,0.017031316,0.005033541,0.032296367,0.10326483,0.08673437,0.013086018999999999,0.011813175,0.06629631,0.00750227,0.04064142,0.08126806,0.01705086,0.014729721000000001,0.004108298,0.026401712999999997,0.031977974,0.07255326,0.006447761999999999,7,5,88.296,60.684,28.665
32193,32193,32931,28,0,88138,0.084910445,0.007880935,0.018929655,0.050834738,0.037824422,0.01767104,0.046195384000000006,0.008242026,0.04554848,0.025701562,0.005956235,0.0039757690000000005,0.022034919,0.001314805,0.007075108,0.014045738,0.024255027999999998,0.044152964,0.009865958000000001,0.021436295,0.03311461,0.008984941,0.004393885,0.002015975,0.31631940000000003,0.042884782,0.08245162,0.011983259,8,6,92.664,12.48,28.35
32194,32194,32932,28,0,80217,0.1230067,0.010060164,0.1181262,0.05189640400000001,0.019195277,0.009862936999999999,0.08589717,0.021867225,0.024901167999999998,0.00991871,0.010036076,0.006356259,0.032059904,0.014490878,0.102373324,0.007471968000000001,0.012101773,0.07836669,0.00466936,0.044769205,0.107775405,0.012382498,0.015465893,0.003411664,0.02745389,0.017498415,0.02565693,0.0029278740000000004,7,5,93.522,43.913999999999994,28.35
32195,32195,32933,28,0,95618,0.06434969,0.005152793,0.012986302,0.0037946940000000004,0.030265082000000002,0.014374149,0.046165387999999995,0.007811509,0.04054871,0.05800032,0.005772637,0.041454297,0.044732746,0.008770887,0.01709842,0.004077717,0.014308728,0.042216964,0.0039400270000000005,0.055962186,0.07424857,0.025956165,0.030043224,0.009032105,0.27079776,0.042809195999999994,0.018338826000000003,0.0069908819999999995,8,6,94.302,6.24,28.35
32201,32201,32939,27,0,46502,0.010598603,0.0050416490000000005,0.0061965530000000005,0.005030518,0.01781408,0.008272856,0.007448553,0.003446817,0.026834313,0.22069943,0.004734627,0.05877567,0.005742228,0.000256567,0.00132852,0.000257574,0.007448441,0.024693694,0.003193117,0.012317743999999999,0.013283472,0.02064551,0.009457617,0.004110461,0.342936,0.07737653,0.021879675,0.08017922,8,6,97.57799999999999,10.452,28.35
32204,32204,32942,28,0,55230,0.112552896,0.012055008999999998,0.15734136,0.005456374,0.01979901,0.010569846,0.09266124,0.02063757,0.023582297999999998,0.009554495999999999,0.009871416,0.005117448,0.032329693,0.013674924,0.107717656,0.005913518,0.013058918999999999,0.081777826,0.030451894,0.043687377,0.0704409,0.008865205,0.011044328,0.002447612,0.02483211,0.027396012,0.042111363,0.005051717,7,5,98.904,90.714,28.665
32221,32221,32959,28,0,57054,0.13894574,0.004934707,0.004412995,0.013270576999999999,0.046203524,0.018045347,0.09121987,0.014064866,0.042383593,0.01664814,0.006686743,0.005569912,0.038487617,0.01281289,0.014342653,0.007348993000000001,0.016676735,0.08710983,0.006306894,0.041288234,0.11646501,0.015967805,0.016031088,0.003401011,0.14976034,0.03235933,0.034301332999999996,0.004954179,0,6,112.242,88.99799999999999,28.35
32222,32222,32960,28,0,58754,0.14698468,0.006939588000000001,0.0477591,0.005358391,0.021694686,0.012484246000000001,0.10379779,0.017608726,0.026480865,0.010073164,0.007171895,0.00598674,0.03246398,0.057994653,0.038944665,0.019215186999999998,0.015548225,0.100977205,0.007110894,0.053902686,0.14265442,0.017685158,0.02505523,0.0044575629999999995,0.025319437,0.021909303999999998,0.021251957999999998,0.003169525,4,5,113.334,85.72200000000001,29.295
32227,32227,32965,28,0,58893,0.15674594,0.005363463000000001,0.009282896,0.048867464000000006,0.023356957,0.015955253,0.13432929,0.014025,0.035100627999999995,0.040458127999999996,0.009720831999999999,0.020016557,0.0213284,0.000971258,0.011095411999999999,0.003069096,0.013081521,0.11237607,0.008166709,0.029441792999999997,0.10180004,0.011841541,0.012459884,0.002189308,0.042152274,0.03922543,0.031573366,0.046005487000000005,0,2,120.51,90.48,28.98
