,x,y,z
324,41.808,52.181999999999995,2.205
325,41.964,111.93,2.835
326,42.276,94.61399999999999,2.835
327,41.964,105.3,5.355
328,42.666000000000004,65.52,1.89
329,42.978,80.652,1.89
330,42.978,82.212,1.89
331,42.9,118.95,1.89
332,43.446000000000005,56.706,1.89
333,43.446000000000005,114.58200000000001,2.52
334,43.523999999999994,71.83800000000001,3.465
335,43.836000000000006,68.796,2.835
336,44.07,42.042,1.89
337,43.992,94.69200000000001,1.89
338,44.303999999999995,7.098,4.095
339,44.226000000000006,8.736,1.89
340,44.538000000000004,111.93,1.89
341,44.772,81.666,1.89
342,44.772,84.708,1.89
343,44.928000000000004,70.74600000000001,2.205
