,x,y,reads_per_cell,genes_per_cell,cluster_id,cluster_name
218,883.527053971995,678.353083790275,1350,494,13,PVALB
219,908.763647028632,13458.0629101441,965,410,13,PVALB
220,904.964268715578,11425.5524920106,915,385,2,eL4
221,920.952301417751,438.830840939988,564,249,11,Astro-2
222,911.770791320481,8228.46265225458,647,298,12,VIP
223,1000.64405492837,2662.30649633591,466,203,8,Oligo
224,920.525210324501,6473.47662107251,1052,393,14,SST
225,948.343222506394,13931.9115992177,978,437,1,eL2/3
226,955.060666476787,12465.8508497104,615,280,12,VIP
227,961.191300527241,10995.9299209139,598,262,2,eL4
228,945.024487862641,12923.2116281824,1395,475,1,eL2/3
229,957.086189435531,10347.3006236341,426,250,2,eL4
230,936.949804505679,60.1888661329361,634,329,0,HPC
231,968.30572121371,9601.75371911659,310,169,2,eL4
232,971.131996483443,9387.26081131996,1205,481,13,PVALB
233,1006.75154737673,7312.2306733685,329,155,10,Endo
234,993.880415643677,3476.03784440642,547,268,8,Oligo
235,1007.99880749574,10851.0502555366,699,306,2,eL4
236,1022.4905,12552.4925,464,233,12,VIP
237,1011.88907255446,7591.78377314678,1438,513,7,Astro-1
238,1036.61338825953,8196.62746309646,640,293,12,VIP
239,1056.72394590294,10430.7580139454,740,351,2,eL4
240,1056.94796833773,9603.49862796834,479,234,8,Oligo
241,1073.73276867366,2286.78364942,378,186,11,Astro-2
242,1045.82976544095,10118.8339035133,1364,462,7,Astro-1
243,1056.71651622347,14039.986053509,360,192,1,eL2/3
244,1075.67737192126,5293.67098887144,974,416,2,eL4
245,1103.19953694771,7962.05247925912,561,234,8,Oligo
246,1099.8854909834,4918.67335890725,995,396,13,PVALB
247,1121.033290221,16089.8872518698,544,238,6,Smc
248,1119.49148291358,1227.46319712962,783,339,0,HPC
249,1130.16100872939,2416.34221486849,399,185,8,Oligo
250,1070.61125548157,8770.52255562774,1240,451,7,Astro-1
251,1119.49620158579,10262.3599568268,788,356,2,eL4
252,1122.37289410349,13130.1548836743,261,138,10,Endo
253,1106.4095122419,15257.7166783865,493,204,10,Endo
254,1140.57451304667,2931.52581771408,76,38,-1,
255,1137.27427521843,10643.0885127085,368,177,2,eL4
256,1114.07150446239,11854.4719507012,1207,451,1,eL2/3
257,1131.52254188443,14590.8822839838,582,326,1,eL2/3
258,1163.64635842169,1535.1283678081,135,81,-1,
259,1113.67971359235,9858.87106850237,1021,412,7,Astro-1
260,1155.31017096494,14722.6874529122,346,199,1,eL2/3
261,1162.78674293743,2142.8175523107,431,182,11,Astro-2
262,1174.82507700747,4069.05730199587,873,340,8,Oligo
263,1139.29071518766,9239.05548371392,1863,552,7,Astro-1
264,1124.74505399568,15974.8887257019,929,331,6,Smc
265,1177.55776875932,445.434901441113,306,156,0,HPC
266,1177.71119623334,10906.1635942862,522,254,2,eL4
267,1177.5829015544,14179.06281687,935,415,1,eL2/3
268,1181.75907517033,2609.97760527198,338,153,8,Oligo
269,1183.26096679856,7251.0717070933,1112,412,13,PVALB
270,1200.78117405252,8485.36996403128,2416,649,8,Oligo
271,1193.14463231705,8948.36431012293,425,199,9,Micro
272,1180.24085142718,9572.24725542815,286,147,10,Endo
273,1200.47565520191,3449.95363186511,137,76,-1,
274,1169.31450082635,7608.62245210259,599,264,13,PVALB
275,1202.38200198216,657.672943508424,603,267,0,HPC
276,1204.33888985644,5855.85900529943,915,338,15,Reln
277,1167.41286524473,6769.12513870053,1723,557,7,Astro-1
278,1176.93656767956,12617.8081491713,486,215,10,Endo
279,1207.8583970009,15797.3817206852,503,231,10,Endo
280,1262.30092124043,10373.1863760218,867,386,7,Astro-1
281,1221.66903136335,3330.55515254961,200,100,-1,
282,1251.78851917313,10498.7190886037,551,229,11,Astro-2
283,1220.42501058942,2026.65814082304,755,308,8,Oligo
284,1218.12782419179,5260.10217944061,666,311,5,eL6-2
285,1237.51018136581,858.693806062987,763,335,0,HPC
286,1229.18625886525,3001.73572695035,126,63,-1,
287,1228.65861050668,13269.6439747176,1285,478,1,eL2/3
288,1189.64614562272,110.913128355295,1419,476,0,HPC
289,1234.93795446823,4942.44678899083,999,405,4,eL6-1
290,1262.51362289283,1631.76504891495,642,264,11,Astro-2
291,1251.44067325853,2316.16614820575,342,162,8,Oligo
292,1263.43994570487,10758.5087453946,436,227,2,eL4
293,1271.77806915307,14625.2625777001,457,245,11,Astro-2
294,1248.42022263451,2846.56400742115,267,135,8,Oligo
295,1255.36334786399,11995.7718570183,650,290,1,eL2/3
296,1265.86867191663,12490.6477885014,1029,401,2,eL4
297,1294.69316170555,5481.79243765085,342,166,10,Endo
298,1281.5332452664,16136.2160156004,817,337,6,Smc
299,1324.81158489597,3174.81158489597,277,124,8,Oligo
300,1287.72837197245,8084.51894304126,2104,617,7,Astro-1
301,1343.88166010384,15895.6965884936,659,279,11,Astro-2
302,1345.64401791427,3069.34875239923,132,56,-1,
303,1316.85362853629,11856.067699877,505,242,8,Oligo
304,1331.74909454228,5610.1735356563,286,138,11,Astro-2
305,1343.29192175601,2905.6803792743,289,138,8,Oligo
306,1344.78644279804,11023.0847204849,562,254,2,eL4
307,1344.51006613322,9375.10895538748,541,251,2,eL4
308,1347.08401347325,71.6953620935354,395,193,11,Astro-2
309,1361.97983870968,1099.39908649729,1094,439,0,HPC
310,1354.0535619537,6143.08905582396,1078,453,4,eL6-1
311,1381.052317996,4492.89192832913,468,202,8,Oligo
312,1363.89947441377,10093.62729583,997,383,2,eL4
313,1379.64910072538,14748.1740584943,753,359,1,eL2/3
314,1356.19768825429,3902.30171681115,283,137,8,Oligo
315,1358.33266866976,9038.2219065829,1280,444,7,Astro-1
316,1378.20139344676,4735.78906447216,290,157,9,Micro
317,1364.22573153739,5174.60816749437,701,305,5,eL6-2
318,1377.62036121185,6570.79364032678,858,364,2,eL4
319,1410.11860117687,11486.6370316168,792,319,2,eL4
320,1410.69400411327,5027.21914254074,910,392,5,eL6-2
321,1460.56487153135,5976.42036998972,754,288,10,Endo
322,1404.7112996355,4334.13896325925,746,332,5,eL6-2
323,1397.86910750885,7538.43745730079,905,343,11,Astro-2
324,1417.62538129799,15721.6011885979,349,156,11,Astro-2
325,1391.4274636125,14416.8849916488,447,228,1,eL2/3
326,1404.44097411444,3391.87258174387,475,218,8,Oligo
327,1399.10104433859,9207.35385367045,1315,454,13,PVALB
328,1442.71373650747,9611.05789907269,1519,513,14,SST
329,1424.57662041831,12254.1768482087,520,257,2,eL4
330,1416.84639848719,12390.6794309782,805,330,12,VIP
331,1411.7161426313,16233.2741963815,398,193,6,Smc
332,1415.37242931687,5380.75642031309,925,379,5,eL6-2
333,1415.06862745098,6982.76209376484,630,300,13,PVALB
334,1434.40417186122,184.512907835923,1125,424,0,HPC
335,1442.03753706057,1191.27763659466,458,223,11,Astro-2
336,1439.54289508632,2953.03260292165,399,194,8,Oligo
337,1437.80389863548,7295.92703053931,210,106,10,Endo
338,1432.33642702809,11112.8710469456,670,313,1,eL2/3
339,1441.29269914179,12680.1798319836,1015,408,15,Reln
340,1465.29144755775,429.742668027104,816,334,0,HPC
341,1434.49744842326,2230.98037248659,733,301,14,SST
342,1431.78120678073,8003.2408029399,748,318,7,Astro-1
343,1459.07300546448,3962.17114754098,266,134,8,Oligo
344,1439.42254047323,11275.0395184724,645,299,1,eL2/3
345,1482.43079573735,14459.8312807096,399,226,1,eL2/3
346,1479.74191320364,16137.1660527225,335,168,6,Smc
347,1467.38141891085,7748.83777390141,1042,422,3,eL5
348,1479.26833602585,45.7973344103393,426,222,0,HPC
349,1473.18311322155,6810.87642825345,852,382,5,eL6-2
350,1489.73512209387,13350.0562216698,987,396,1,eL2/3
351,1507.89201203666,6367.17685679114,235,120,10,Endo
352,1534.5895392279,6585.30438632904,1296,463,7,Astro-1
353,1506.45911315865,7438.07001631635,673,273,3,eL5
354,1506.97786364002,9359.54085164614,760,338,2,eL4
355,1524.68114177489,11833.8130411255,873,356,2,eL4
